State,SPENDING_PER_STUDENT,UnemploymentRate,Has_State_Income_Tax,restaurants,Population,rest_person,PercBelowPoverty,EducPerc,Total_Electoral_Vote_Count,PctMalesNeverMarried,PctFemalesNeverMarried,SAT_PCT_TESTED,SATReading,SATMath,SATWriting,SATComb,ACT_PCT_TESTED,ACTEnglish,ACTMath,ACTReading,ACTScience,ACTComb,Pop,PROP_GRAD
ALABAMA,,,,7845,4858979,0.001614537,,,,,,,,,,,,,,,,,,
ALASKA,,,,1383,738432,0.001872887,,,,,,,,,,,,,,,,,,
ARIZONA,,,,9314,6828065,0.001364076,,,,,,,,,,,,,,,,,,
ARKANSAS,,,,4954,2978204,0.001663419,,,,,,,,,,,,,,,,,,
Alabama,6802467,6,Y,,,,18.7,82.1,9,32.40%,26.70%,7,544,534,530,1608,78,20.5,19.5,21,20.2,20.4,3138078,0.819
Alaska,2415614,6.7,N,,,,9.3,91.4,3,37.50%,29.00%,52,508,505,482,1495,37,20.1,21.2,21.7,21,21.1,438805,0.914
Arizona,7221984,5.8,Y,,,,18.6,84.2,11,36.00%,28.80%,35,521,528,502,1551,50,18.5,20.3,19.6,19.4,19.6,4087214,0.852
Arkansas,4645874,3.8,Y,,,,19.7,82.4,6,30.20%,23.80%,4,572,570,555,1697,90,19.9,19.9,20.5,20.1,20.2,1904692,0.827
CALIFORNIA,,,,69908,39144818,0.001785881,,,,,,,,,,,,,,,,,,
COLORADO,,,,11247,5456574,0.002061183,,,,,,,,,,,,,,,,,,
CONNECTICUT,,,,7877,3590886,0.002193609,,,,,,,,,,,,,,,,,,
California,60715787,5.4,Y,,,,16.8,80.6,55,40.00%,32.80%,57,498,512,495,1505,26,21.6,22.8,22.3,21.5,22.2,23797844,0.808
Colorado,7847152,3.7,Y,,,,13,89.3,9,34.70%,27.30%,14,578,581,562,1721,100,19.9,20.4,20.5,20.5,20.4,3265425,0.897
Connecticut,9361449,5.8,Y,,,,10.7,88.6,7,36.80%,30.50%,85,508,512,512,1532,27,24,23.9,24.4,23.3,24,2413922,0.886
DC,913724,6,Y,,,,18.9,87.1,3,,,91,473,466,461,1400,38,19.8,20.5,21,19.7,20.4,407576,0.871
DELAWARE,,,,1889,945934,0.001996968,,,,,,,,,,,,,,,,,,
Delaware,1736678,4.2,Y,,,,12.4,87.4,3,35.60%,30.70%,100,451,457,443,1351,15,22.5,22.8,23.4,22.4,22.9,595938,0.874
District of Col,,,,,,,,,,58.30%,55.90%,,,,,,,,,,,,,
District of col,,,,2233,672228,0.00332179,,,,,,,,,,,,,,,,,,
Florida,24279963,4.7,N,39143,20271272,0.001930959,17,85.3,29,34.60%,27.40%,67,492,490,475,1457,74,18.7,19.7,20.4,19.1,19.6,12949216,0.855
Georgia,15800788,5.1,Y,17900,10214860,0.001752349,19,83.9,16,36.20%,30.50%,75,490,487,475,1452,51,20.2,20.3,21.2,20.5,20.7,6152481,0.84
Hawaii,2341836,3.3,Y,3370,1431603,0.002354005,10.8,90.4,4,37.50%,28.80%,64,481,504,468,1453,40,19,20.8,20,19.9,20.1,915429,0.901
ILLINOIS,,,,27189,12859995,0.002114231,,,,,,,,,,,,,,,,,,
INDIANA,,,,11620,6619680,0.001755372,,,,,,,,,,,,,,,,,,
IOWA,,,,6129,3123899,0.001961971,,,,,,,,,,,,,,,,,,
Idaho,1868338,3.7,Y,3103,1654930,0.001875004,15.6,88.4,4,29.10%,22.70%,99,454,459,451,1364,49,21.5,21.8,22.7,21.8,22.1,970727,0.885
Illinois,27313867,6.3,Y,,,,14.7,86.4,20,37.50%,31.50%,5,600,617,590,1807,100,20.2,20.7,20.4,20.5,20.6,8405202,0.866
Indiana,9680499,4.8,Y,,,,15.9,86.6,11,33.10%,27.10%,70,493,500,477,1470,38,21,21.9,22.1,21.4,21.7,4199481,0.866
Iowa,5380362,4,Y,,,,12.7,90.5,6,31.90%,25.20%,3,592,601,570,1763,66,21.5,21.6,22.5,22.2,22.1,1999820,0.903
Kansas,4679876,3.8,Y,5184,2911641,0.001780439,14,89.7,6,31.70%,25.20%,6,589,595,568,1752,75,21.2,21.7,22.3,21.7,21.8,1822400,0.895
Kentucky,6459529,5,Y,7510,4425092,0.00169714,18.8,81.7,8,31.00%,24.50%,5,585,584,572,1741,100,19.2,19.2,19.9,19.7,19.6,2881383,0.817
Louisiana,7166563,6.2,Y,8371,4670724,0.001792228,19.8,82.2,8,37.40%,31.50%,5,556,553,546,1655,100,19.4,19.2,19.7,19.2,19.5,2899261,0.816
Maine,2366014,3.7,Y,15397,1329328,0.011582544,14,90.2,4,30.60%,24.70%,95,462,467,451,1380,8,23.4,23.3,23.8,22.9,23.5,934144,0.902
